英雄ID	职业名称	职业类型	 价格	拥有法力	生命值	法力值	攻击力
int	string	int	 int	bool	float	float	float
ID	Name	HeroType Price	HaveMP	HP	MP	Attack
1001	实习生	2	 4500	FALSE	2250	0	275
1002	大妈	1	 5000	FALSE	2250	0	212
1003	保安	2	 6000	FALSE	2750	0	215
1004	秘书	0	 4500	TRUE	2640	600	225
1005	程序员	1	 5000	TRUE	2300	450	212
1006	业务员	1	 5000	FALSE	2300	0	250
1007	美工	1	 4500	TRUE	2274	700	283
1008	老板	2	 5000	FALSE	2200	0	235
1009	厨师	1	 5000	TRUE	2624	480	225
1010	裁缝	1	 5500	FALSE	2500	0	250
1011	爱因斯坦	2	 6500	FALSE	2374	0	250
1012	工程师	2	 5500	FALSE	2300	0	250
1013	铁匠	2	 7000	FALSE	2700	0	250
1014	小丑	2	 6000	FALSE	2150	0	250
1015	爱迪生	2	 6500	TRUE	2150	600	265
1016	服务员	2	 6000	TRUE	2500	500	240
1017	特斯拉	2	 6000	TRUE	2250	600	280
1018	瑜伽教练	2	 7000	FALSE	2374	0	262
1019	杀手	2	 7000	TRUE	2500	600	210
1020	老中医	2	 6500	TRUE	2350	600	265
1021	德玛皇子	2	 9500	TRUE	4000	500	200
